name,log_L_CN,log_L_IR,L_CN_err_low,L_CN_err_high,L_IR_err_low,L_IR_err_high
Cloverleaf,9.073437254,12.94939001,0.149834697,0.230622674,0.085639276,0.106780767
SDP17b,9.303258077,13.20411998,0.15715444,0.248720896,0,0
SPT0125-47,9.435010397,13.62324929,0.150142162,0.231361899,0.096910013,0.124938737
G15v2.235,9.205915893,13.1931246,0.159567193,0.254925208,0.11437144,0.1556981
G09v1.124,9.465248373,13.68124124,0.224791957,0.492144128,0.309984838,0.047772782
PLCK_G231.3,8.643440234,12.97772361,0.15044941,0.232102384,0.022276395,0.023481096
NCv1.143,9.506725892,13.05690485,0.046256834,0.05177751,0.127752516,0.181774106
Arp220,9.359210899,12.37303805,0.06069784,0.070581074,0.041392685,0.045757491
Mrk231,9.493579455,12.61303805,0.146128036,0.22184875,0.041392685,0.045757491
NGC1614,8.564062093,11.67303805,0.176091259,0.301029996,0.041392685,0.045757491
NGC2146,7.551156197,11.24303805,0.096910013,0.124938737,0.041392685,0.045757491
NGC6240,8.88897913,11.93303805,0.05804623,0.067019178,0.041392685,0.045757491
NGC3256,8.283842413,11.76303805,0.017742664,0.018498512,0.041392685,0.045757491
NGC7130,8.38247381,11.50303805,0.079181246,0.096910013,0.041392685,0.045757491
NGC7469,8.85300954,11.65303805,0.05804623,0.067019178,0.041392685,0.045757491
NGC1808,8.001470405,10.72303805,0.011274329,0.01157483,0.041392685,0.045757491
